name,part_url,color,cas_latency,manufacturer,part_number,form_factor,is_ecc,is_registered,modules_count,modules_size,memory_type,frequency
G.Skill Aegis 32 GB,https://pcpartpicker.com/product/8BLwrH/gskill-aegis-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-f4-3200c16d-32gis,Red / Black,16.0,G.Skill,F4-3200C16D-32GIS,288-pin DIMM (DDR4),False,False,2,16,DDR4,3200.0
Crucial CT51264BA160B 4 GB,https://pcpartpicker.com/product/jnckcf/crucial-memory-ct51264ba160b,Green,11.0,Crucial,CT51264BA160B,240-pin DIMM (DDR3),False,False,1,4,DDR3,1600.0
Crucial CT8G4DFRA32A 8 GB,https://pcpartpicker.com/product/Kx7p99/crucial-ct8g4dfra32a-8-gb-1-x-8-gb-ddr4-3200-cl22-memory-ct8g4dfra32a,Green,22.0,Crucial,CT8G4DFRA32A,288-pin DIMM (DDR4),False,False,1,8,DDR4,3200.0
Kingston FURY Beast 16 GB,https://pcpartpicker.com/product/Z99wrH/kingston-fury-beast-16-gb-2-x-8-gb-ddr5-5600-cl36-memory-kf556c36bbek2-16,Black / Silver,36.0,Kingston,KF556C36BBEK2-16,288-pin DIMM (DDR5),False,False,2,8,DDR5,5600.0
TEAMGROUP Elite 16 GB,https://pcpartpicker.com/product/6fXYcf/team-elite-16-gb-2-x-8-gb-ddr3-1600-cl11-memory-ted316g1600c11dc01,Black,11.0,TEAMGROUP,TED316G1600C11DC01,240-pin DIMM (DDR3),False,False,2,8,DDR3,1600.0
Corsair Vengeance RGB Pro SL 32 GB,https://pcpartpicker.com/product/bjjNnQ/corsair-vengeance-rgb-pro-sl-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-cmh32gx4m2d3600c18w,White / Black,18.0,Corsair,CMH32GX4M2D3600C18W,288-pin DIMM (DDR4),False,False,2,16,DDR4,3600.0
Silicon Power SP016GBLFU320X02 16 GB,https://pcpartpicker.com/product/f6C48d/silicon-power-sp016gblfu320x02-16-gb-1-x-16-gb-ddr4-3200-cl22-memory-sp016gblfu320x02,,22.0,Silicon Power,SP016GBLFU320X02,288-pin DIMM (DDR4),False,False,1,16,DDR4,3200.0
ADATA XPG Lancer Blade 32 GB,https://pcpartpicker.com/product/gVWmP6/adata-xpg-lancer-blade-32-gb-2-x-16-gb-ddr5-5600-cl46-memory-ax5u5600c4616g-dtlabbk,Black,46.0,ADATA,AX5U5600C4616G-DTLABBK,288-pin DIMM (DDR5),False,False,2,16,DDR5,5600.0
G.Skill Trident Z5 RGB 64 GB,https://pcpartpicker.com/product/qXkH99/gskill-trident-z5-rgb-64-gb-2-x-32-gb-ddr5-6000-cl36-memory-f5-6000j3636f32gx2-tz5rk,Black,36.0,G.Skill,F5-6000J3636F32GX2-TZ5RK,288-pin DIMM (DDR5),False,False,2,32,DDR5,6000.0
Kingston FURY Beast RGB 64 GB,https://pcpartpicker.com/product/DMkH99/kingston-fury-beast-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-kf560c30bweak2-64,White,30.0,Kingston,KF560C30BWEAK2-64,288-pin DIMM (DDR5),False,False,2,32,DDR5,6000.0
V-Color Manta XSky RGB 32 GB,https://pcpartpicker.com/product/skPv6h/v-color-manta-xsky-rgb-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-tmxsal1664832kwk,Black,32.0,V-Color,TMXSAL1664832KWK,288-pin DIMM (DDR5),False,False,2,16,DDR5,6400.0
Corsair Dominator Titanium 64 GB,https://pcpartpicker.com/product/8LbRsY/corsair-dominator-titanium-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmp64gx5m2b6000c30w,White,30.0,Corsair,CMP64GX5M2B6000C30W,288-pin DIMM (DDR5),False,False,2,32,DDR5,6000.0
G.Skill Trident Z5 Royal Neo RGB 96 GB,https://pcpartpicker.com/product/wmgZxr/gskill-trident-z5-royal-neo-rgb-96-gb-2-x-48-gb-ddr5-6000-cl28-memory-f5-6000j2836f48gx2-tr5ns,Silver,28.0,G.Skill,F5-6000J2836F48GX2-TR5NS,288-pin DIMM (DDR5),False,False,2,48,DDR5,6000.0
G.Skill Trident Z5 Neo RGB 32 GB,https://pcpartpicker.com/product/V9pD4D/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl26-memory-f5-6000j2636h16gx2-tz5nr,Black,26.0,G.Skill,F5-6000J2636H16GX2-TZ5NR,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Corsair Vengeance LPX 32 GB,https://pcpartpicker.com/product/7nprxr/corsair-vengeance-lpx-32gb-4-x-8gb-ddr4-3200-memory-cmk32gx4m4z3200c16,Black / Yellow,16.0,Corsair,CMK32GX4M4Z3200C16,288-pin DIMM (DDR4),False,False,4,8,DDR4,3200.0
Corsair Vengeance RGB 32 GB,https://pcpartpicker.com/product/pYNscf/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-8000-cl36-memory-cmh32gx5m2x8000c36,Black / Gray,36.0,Corsair,CMH32GX5M2X8000C36,288-pin DIMM (DDR5),False,False,2,16,DDR5,8000.0
Kingston FURY Beast 16 GB,https://pcpartpicker.com/product/DBH7YJ/kingston-fury-beast-16-gb-2-x-8-gb-ddr4-3600-cl17-memory-kf436c17bbk216,Black,17.0,Kingston,KF436C17BBK2/16,288-pin DIMM (DDR4),False,False,2,8,DDR4,3600.0
G.Skill Trident Z5 Neo RGB 256 GB,https://pcpartpicker.com/product/8Tjv6h/gskill-trident-z5-neo-rgb-256-gb-4-x-64-gb-ddr5-6000-cl36-memory-f5-6000j3644d64gx4-tz5nr,Black,36.0,G.Skill,F5-6000J3644D64GX4-TZ5NR,288-pin DIMM (DDR5),False,False,4,64,DDR5,6000.0
Kingston FURY 128 GB,https://pcpartpicker.com/product/KLbypg/kingston-fury-128-gb-4-x-32-gb-ddr5-5200-cl40-memory-kf552c40bwk4-128,White,40.0,Kingston,KF552C40BWK4-128,288-pin DIMM (DDR5),False,False,4,32,DDR5,5200.0
Kingston Server Premier 64 GB,https://pcpartpicker.com/product/rPpzK8/kingston-server-premier-64-gb-1-x-64-gb-registered-ddr4-3200-cl22-memory-ksm32rd464mfr,,22.0,Kingston,KSM32RD4/64MFR,288-pin DIMM (DDR4),True,True,1,64,DDR4,3200.0
Timetec PINNACLE Konduit 16 GB,https://pcpartpicker.com/product/rz7scf/timetec-pinnacle-konduit-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-pkmd4u32c16cnhw8gk2,White,16.0,Timetec,PKMD4U32C16CNHW8GK2,288-pin DIMM (DDR4),False,False,2,8,DDR4,3200.0
Kingston KCP421ND8/16 16 GB,https://pcpartpicker.com/product/xqNv6h/kingston-16gb-1-x-16gb-ddr4-2133-memory-kcp421nd816,Green / Black,15.0,Kingston,KCP421ND8/16,288-pin DIMM (DDR4),False,False,1,16,DDR4,2133.0
Crucial CT2K8G4DFS824A 16 GB,https://pcpartpicker.com/product/QMBTwP/crucial-16-gb-2-x-8-gb-ddr4-2400-memory-ct2k8g4dfs824a,Green / Black,17.0,Crucial,CT2K8G4DFS824A,288-pin DIMM (DDR4),False,False,2,8,DDR4,2400.0
Corsair Vengeance RGB 64 GB,https://pcpartpicker.com/product/Pt88TW/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6400-cl32-memory-cmh64gx5m2b6400c32,Black / Gray,32.0,Corsair,CMH64GX5M2B6400C32,288-pin DIMM (DDR5),False,False,2,32,DDR5,6400.0
Kingston Server Premier 32 GB,https://pcpartpicker.com/product/2pYmP6/kingston-server-premier-32-gb-1-x-32-gb-ddr4-3200-cl22-memory-ksm32ed832hc,,22.0,Kingston,KSM32ED8/32HC,288-pin DIMM (DDR4),True,False,1,32,DDR4,3200.0
Corsair Vengeance 128 GB,https://pcpartpicker.com/product/HKn9TW/corsair-vengeance-128-gb-4-x-32-gb-ddr5-5600-cl40-memory-cmk128gx5m4b5600c40,Black,40.0,Corsair,CMK128GX5M4B5600C40,288-pin DIMM (DDR5),False,False,4,32,DDR5,5600.0
G.Skill Ripjaws M5 Neo RGB 32 GB,https://pcpartpicker.com/product/BsHqqs/gskill-ripjaws-m5-neo-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx2-rm5nrk,Black,36.0,G.Skill,F5-6000J3636F16GX2-RM5NRK,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Crucial CT32G56C46U5 32 GB,https://pcpartpicker.com/product/FJtLrH/crucial-ct32g56c46u5-32-gb-1-x-32-gb-ddr5-5600-cl46-memory-ct32g56c46u5,Black,46.0,Crucial,CT32G56C46U5,288-pin DIMM (DDR5),False,False,1,32,DDR5,5600.0
TEAMGROUP T-Force Delta RGB 32 GB,https://pcpartpicker.com/product/3zsMnQ/teamgroup-t-force-delta-rgb-32-gb-2-x-16-gb-ddr5-6000-cl38-memory-ff4d532g6000hc38jdc01,White,38.0,TEAMGROUP,FF4D532G6000HC38JDC01,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Klevv FIT V 32 GB,https://pcpartpicker.com/product/q62j4D/klevv-fit-v-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kd5agu880-60a300l,Black,30.0,Klevv,KD5AGU880-60A300L,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
