name,part_url,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,manufacturer,part_number,socket,max_memory,ecc_support
AMD Ryzen 7 9800X3D,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,8,4.7,5.2,Zen 5,120,Radeon,AMD,100-1000001084WOF|AMD Ryzen 7 9800X3D|100-100001084WOF,AM5,192.0,True
AMD Ryzen 7 7800X3D,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,8,4.2,5.0,Zen 4,120,Radeon,AMD,100-100000910WOF,AM5,128.0,True
AMD Ryzen 5 9600X,https://pcpartpicker.com/product/4r4Zxr/amd-ryzen-5-9600x-39-ghz-6-core-processor-100-100001405wof,6,3.9,5.4,Zen 5,65,Radeon,AMD,100-100001405WOF,AM5,192.0,True
AMD Ryzen 5 7600X,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,6,4.7,5.3,Zen 4,105,Radeon,AMD,100-100000593WOF,AM5,128.0,True
AMD Ryzen 5 5500,https://pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box,6,3.6,4.2,Zen 3,65,,AMD,100-100000457BOX,AM4,128.0,False
AMD Ryzen 9 9950X3D,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof,16,4.3,5.7,Zen 5,170,Radeon,AMD,100-100000719WOF,AM5,192.0,True
AMD Ryzen 7 7700X,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,4.5,5.4,Zen 4,105,Radeon,AMD,100-100000591WOF,AM5,128.0,True
AMD Ryzen 5 5600,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,6,3.5,4.4,Zen 3,65,,AMD,100-100000927BOX,AM4,128.0,False
AMD Ryzen 7 9700X,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,3.8,5.5,Zen 5,65,Radeon,AMD,100-100001404WOF,AM5,192.0,True
AMD Ryzen 7 5800X,https://pcpartpicker.com/product/qtvqqs/amd-ryzen-7-5800x-38-ghz-8-core-processor-100-100000063wof,8,3.8,4.7,Zen 3,105,,AMD,100-100000063WOF,AM4,128.0,False
AMD Ryzen 5 5600X,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,6,3.7,4.6,Zen 3,65,,AMD,100-100000065BOX,AM4,128.0,False
AMD Ryzen 7 5700X,https://pcpartpicker.com/product/JmhFf7/amd-ryzen-7-5700x-34-ghz-8-core-processor-100-100000926wof,8,3.4,4.6,Zen 3,65,,AMD,100-100000926WOF,AM4,128.0,False
AMD Ryzen 5 3600,https://pcpartpicker.com/product/9nm323/amd-ryzen-5-3600-36-thz-6-core-processor-100-100000031box,6,3.6,4.2,Zen 2,65,,AMD,Ryzen 5 3600|100-100000031BOX,AM4,128.0,False
Intel Core i7-14700K,https://pcpartpicker.com/product/BmWJ7P/intel-core-i7-14700k-34-ghz-20-core-processor-bx8071514700k,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770,Intel,BX8071514700K,LGA1700,192.0,True
Intel Core i5-12400F,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,6,2.5,4.4,Alder Lake,65,,Intel,BX8071512400F,LGA1700,128.0,False
Intel Core i9-14900K,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,24,3.2,6.0,Raptor Lake Refresh,125,Intel UHD Graphics 770,Intel,BX8071514900K,LGA1700,192.0,True
AMD Ryzen 9 9900X,https://pcpartpicker.com/product/Z6GhP6/amd-ryzen-9-9900x-44-ghz-12-core-processor-100-100000662wof,12,4.4,5.6,Zen 5,120,Radeon,AMD,100-100000662WOF,AM5,192.0,True
AMD Ryzen 7 5800XT,https://pcpartpicker.com/product/fN88TW/amd-ryzen-7-5800xt-38-ghz-8-core-processor-100-100001582box,8,3.8,4.8,Zen 3,105,,AMD,100-100001582BOX,AM4,128.0,False
AMD Threadripper 3990X,https://pcpartpicker.com/product/KWmFf7/amd-threadripper-3990x-29-ghz-64-core-processor-100-100000163wof,64,2.9,4.3,Zen 2,280,,AMD,100-100000163WOF,sTRX4,1024.0,True
Intel Core Ultra 7 265K,https://pcpartpicker.com/product/mBsV3C/intel-core-ultra-7-265k-39-ghz-20-core-processor-bx80768265k,20,3.9,5.5,Arrow Lake,125,Intel Xe,Intel,BX80768265K,LGA1851,256.0,True
AMD Ryzen 7 5800X3D,https://pcpartpicker.com/product/CZ3gXL/amd-ryzen-7-5800x3d-34-ghz-8-core-processor-100-100000651wof,8,3.4,4.5,Zen 3,105,,AMD,100-100000651WOF,AM4,128.0,False
AMD Ryzen 5 7500F,https://pcpartpicker.com/product/ms4Zxr/amd-ryzen-5-7500f-37-ghz-6-core-oemtray-processor-100-000000597,6,3.7,5.0,Zen 4,65,,AMD,100-000000597,AM5,128.0,True
Intel Core i5-12600KF,https://pcpartpicker.com/product/Tk8bt6/intel-core-i5-12600kf-37-ghz-6-core-processor-bx8071512600kf,10,3.7,4.9,Alder Lake,125,,Intel,BX8071512600KF,LGA1700,128.0,False
AMD Ryzen 5 7600,https://pcpartpicker.com/product/yXmmP6/amd-ryzen-5-7600-38-ghz-6-core-processor-100-100001015box,6,3.8,5.1,Zen 4,65,Radeon,AMD,100-100001015BOX,AM5,128.0,True
AMD Ryzen 9 7900X,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof,12,4.7,5.6,Zen 4,170,Radeon,AMD,100-100000589WOF,AM5,128.0,True
Intel Core Ultra 9 285K,https://pcpartpicker.com/product/VHYRsY/intel-core-ultra-9-285k-37-ghz-24-core-processor-bx80768285k,24,3.7,5.7,Arrow Lake,125,Intel Xe,Intel,BX80768285K,LGA1851,256.0,True
AMD Ryzen 5 8500G,https://pcpartpicker.com/product/y3XV3C/amd-ryzen-5-8500g-41-ghz-6-core-processor-100-100000931box,6,4.1,5.0,Zen 4,65,Radeon 740M,AMD,100-100000931BOX,AM5,,False
Intel Core i7-12700KF,https://pcpartpicker.com/product/YDM48d/intel-core-i7-12700kf-36-ghz-8-core-processor-bx8071512700kf,12,3.6,5.0,Alder Lake,125,,Intel,BX8071512700KF,LGA1700,128.0,False
AMD Ryzen 9 9950X,https://pcpartpicker.com/product/T6GhP6/amd-ryzen-9-9950x-43-ghz-16-core-processor-100-100001277wof,16,4.3,5.7,Zen 5,170,Radeon,AMD,100-100001277WOF,AM5,192.0,True
AMD Ryzen 9 5900X,https://pcpartpicker.com/product/KwLwrH/amd-ryzen-9-5900x-37-ghz-12-core-processor-100-100000061wof,12,3.7,4.8,Zen 3,105,,AMD,100-100000061WOF,AM4,128.0,False
AMD Ryzen 5 5600XT,https://pcpartpicker.com/product/GY6NnQ/amd-ryzen-5-5600xt-37-ghz-6-core-processor-100-100001585box,6,3.7,4.7,Zen 3,65,,AMD,100-100001585BOX,AM4,128.0,True
Intel Core i5-14600KF,https://pcpartpicker.com/product/zyyH99/intel-core-i5-14600kf-35-ghz-14-core-processor-bx8071514600kf,14,3.5,5.3,Raptor Lake Refresh,125,,Intel,BX8071514600KF,LGA1700,192.0,True
Intel Core i5-14400F,https://pcpartpicker.com/product/QkP8TW/intel-core-i5-14400f-25-ghz-10-core-processor-bx8071514400f,10,2.5,4.7,Raptor Lake Refresh,65,,Intel,BX8071514400F,LGA1700,192.0,True
AMD Ryzen 9 5950X,https://pcpartpicker.com/product/Qk2bt6/amd-ryzen-9-5950x-34-ghz-16-core-processor-100-100000059wof,16,3.4,4.9,Zen 3,105,,AMD,100-100000059WOF,AM4,128.0,False
AMD Ryzen 7 5700G,https://pcpartpicker.com/product/ycGbt6/amd-ryzen-7-5700g-38-ghz-8-core-processor-100-100000263box,8,3.8,4.6,Zen 3,65,Radeon Vega 8,AMD,100-100000263BOX,AM4,128.0,False
AMD Ryzen 5 5600G,https://pcpartpicker.com/product/sYmmP6/amd-ryzen-5-5600g-39-ghz-6-core-processor-100-100000252box,6,3.9,4.4,Zen 3,65,Radeon Vega 7,AMD,100-100000252BOX,AM4,128.0,False
Intel Core i5-14600K,https://pcpartpicker.com/product/jXFmP6/intel-core-i5-14600k-35-ghz-14-core-processor-bx8071514600k,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770,Intel,BX8071514600K,LGA1700,192.0,True
AMD Ryzen 7 3700X,https://pcpartpicker.com/product/QKJtt6/amd-ryzen-7-3700x-36-ghz-8-core-processor-100-100000071box,8,3.6,4.4,Zen 2,65,,AMD,Ryzen 7 3700X|100-100000071BOX,AM4,128.0,False
AMD Ryzen 5 7600X3D,https://pcpartpicker.com/product/RVhv6h/amd-ryzen-5-7600x3d-41-ghz-6-core-processor-100-100001721wof,6,4.1,4.7,Zen 4,65,Radeon,AMD,100-100001721WOF,AM5,128.0,True
Intel Core i5-12600K,https://pcpartpicker.com/product/BB4Ycf/intel-core-i5-12600k-37-ghz-6-core-processor-bx8071512600k,10,3.7,4.9,Alder Lake,125,Intel UHD Graphics 770,Intel,BX8071512600K,LGA1700,128.0,False
AMD Ryzen 7 5700X3D,https://pcpartpicker.com/product/3ZKscf/amd-ryzen-7-5700x3d-3-ghz-8-core-processor-100-100001503wof,8,3.0,4.1,Zen 3,105,,AMD,100-100001503WOF,AM4,128.0,False
AMD Ryzen 3 3200G,https://pcpartpicker.com/product/J8drxr/amd-ryzen-3-3200g-36-ghz-quad-core-processor-yd3200c5fhbox,4,3.6,4.0,Zen+,65,Radeon Vega 8,AMD,Ryzen 3 3200G|YD3200C5FHBOX,AM4,64.0,False
AMD Ryzen 7 5700,https://pcpartpicker.com/product/9NFmP6/amd-ryzen-7-5700-37-ghz-8-core-processor-100-000000743box,8,3.7,4.6,Zen 3,65,,AMD,100-000000743BOX|100-100000743BOX|Ryzen 7 5700,AM4,128.0,False
Intel Core i9-12900K,https://pcpartpicker.com/product/gGH7YJ/intel-core-i9-12900k-32-ghz-8-core-processor-bx8071512900k,16,3.2,5.2,Alder Lake,125,Intel UHD Graphics 770,Intel,BX8071512900K,LGA1700,128.0,False
Intel Core i7-12700K,https://pcpartpicker.com/product/ZbddnQ/intel-core-i7-12700k-36-ghz-8-core-processor-bx8071512700k,12,3.6,5.0,Alder Lake,125,Intel UHD Graphics 770,Intel,BX8071512700K,LGA1700,128.0,False
Intel Core i3-12100F,https://pcpartpicker.com/product/grhFf7/intel-core-i3-12100f-33-ghz-quad-core-processor-bx8071512100f,4,3.3,4.3,Alder Lake,58,,Intel,BX8071512100F,LGA1700,128.0,False
AMD Ryzen 9 9900X3D,https://pcpartpicker.com/product/d7TFf7/amd-ryzen-9-9900x3d-44-ghz-12-core-processor-100-1000001368wof,12,4.4,5.5,Zen 5,120,Radeon,AMD,100-1000001368WOF|AMD-Ryzen-9-9900X3D|100-100001368WOF,AM5,192.0,True
AMD Ryzen 5 4500,https://pcpartpicker.com/product/m8BG3C/amd-ryzen-5-4500-36-ghz-6-core-processor-100-100000644box,6,3.6,4.1,Zen 2,65,,AMD,100-100000644BOX,AM4,128.0,False
AMD Ryzen 5 8400F,https://pcpartpicker.com/product/DpcgXL/amd-ryzen-5-8400f-42-ghz-6-core-processor-100-100001591box,6,4.2,4.7,Zen 4,65,,AMD,100-100001591BOX,AM5,256.0,False
Intel Core Ultra 7 265KF,https://pcpartpicker.com/product/8myH99/intel-core-ultra-7-265kf-39-ghz-20-core-processor-bx80768265kf,20,3.9,5.5,Arrow Lake,125,,Intel,BX80768265KF,LGA1851,256.0,False
AMD Ryzen 7 8700F,https://pcpartpicker.com/product/CsGhP6/amd-ryzen-7-8700f-41-ghz-8-core-processor-100-100001590box,8,4.1,5.0,Zen 4,65,,AMD,100-100001590BOX,AM5,256.0,False
AMD Ryzen 5 5600GT,https://pcpartpicker.com/product/7XGhP6/amd-ryzen-5-5600gt-36-ghz-6-core-processor-100-100001488box,6,3.6,4.6,Zen 3,65,Radeon Vega 7,AMD,100-100001488BOX,AM4,128.0,False
AMD Ryzen 7 7700,https://pcpartpicker.com/product/dXmmP6/amd-ryzen-7-7700-36-ghz-8-core-processor-100-100000592box,8,3.6,5.3,Zen 4,65,Radeon,AMD,100-100000592BOX,AM5,128.0,True
Intel Core Ultra 5 225F,https://pcpartpicker.com/product/pkdMnQ/intel-core-ultra-5-225f-33-ghz-10-core-processor-bx80768225f,10,3.3,4.9,Arrow Lake,65,,Intel,BX80768225F,LGA1851,256.0,False
Intel Core i7-14700F,https://pcpartpicker.com/product/9jCZxr/intel-core-i7-14700f-21-ghz-20-core-processor-bx8071514700f,20,2.1,5.4,Raptor Lake Refresh,65,,Intel,BX8071514700F,LGA1700,192.0,True
AMD Ryzen 5 2600,https://pcpartpicker.com/product/jLF48d/amd-ryzen-5-2600-34ghz-6-core-processor-yd2600bbafbox,6,3.4,3.9,Zen+,65,,AMD,YD2600BBAFBOX,AM4,64.0,False
Intel Core i5-10400F,https://pcpartpicker.com/product/vrhmP6/intel-core-i5-10400f-29-ghz-6-core-processor-bx8070110400f,6,2.9,4.3,Comet Lake,65,,Intel,BX8070110400F,LGA1200,128.0,False
AMD Ryzen 5 3400G,https://pcpartpicker.com/product/XP6qqs/amd-ryzen-5-3400g-37-ghz-quad-core-processor-ryzen-5-3400g,4,3.7,4.2,Zen+,65,Radeon Vega 11,AMD,Ryzen 5 3400G|YD3400C5FHBOX,AM4,64.0,False
AMD Ryzen 9 5900XT,https://pcpartpicker.com/product/nYvD4D/amd-ryzen-9-5900xt-33-ghz-16-core-processor-100-100001581wof,16,3.3,4.8,Zen 3,105,,AMD,100-100001581WOF,AM4,128.0,False
Intel Core i9-14900KF,https://pcpartpicker.com/product/YJRwrH/intel-core-i9-14900kf-32-ghz-24-core-processor-bx8071514900kf,24,3.2,6.0,Raptor Lake Refresh,125,,Intel,BX8071514900KF,LGA1700,192.0,True
Intel Core i7-14700KF,https://pcpartpicker.com/product/TWP8TW/intel-core-i7-14700kf-34-ghz-20-core-processor-bx8071514700kf,20,3.4,5.6,Raptor Lake Refresh,125,,Intel,BX8071514700KF,LGA1700,192.0,True
Intel Core Ultra 5 245K,https://pcpartpicker.com/product/xNXV3C/intel-core-ultra-5-245k-42-ghz-14-core-processor-bx80768245k,14,4.2,5.2,Arrow Lake,125,Intel Xe,Intel,BX80768245K,LGA1851,256.0,True
Intel Core i7-9700K,https://pcpartpicker.com/product/WtyV3C/intel-core-i7-9700k-36ghz-8-core-processor-bx80684i79700k,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630,Intel,BX80684I79700K,LGA1151,128.0,False
AMD Ryzen 9 7950X3D,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof,16,4.2,5.7,Zen 4,120,Radeon,AMD,100-100000908WOF,AM5,128.0,True
AMD Ryzen 3 4100,https://pcpartpicker.com/product/drBG3C/amd-ryzen-3-4100-38-ghz-quad-core-processor-100-100000510box,4,3.8,4.0,Zen 2,65,,AMD,100-100000510BOX,AM4,128.0,False
Intel Core Ultra 5 245KF,https://pcpartpicker.com/product/k7cgXL/intel-core-ultra-5-245kf-42-ghz-14-core-processor-bx80768245kf,14,4.2,5.2,Arrow Lake,125,,Intel,BX80768245KF,LGA1851,256.0,False
AMD Ryzen 7 8700G,https://pcpartpicker.com/product/K4vD4D/amd-ryzen-7-8700g-42-ghz-8-core-processor-100-100001236box,8,4.2,5.1,Zen 4,65,Radeon 780M,AMD,100-100001236BOX,AM5,,False
Intel Core i5-13400F,https://pcpartpicker.com/product/VNkWGX/intel-core-i5-13400f-25-ghz-10-core-processor-bx8071513400f,10,2.5,4.6,Raptor Lake,65,,Intel,BX8071513400F,LGA1700,192.0,False
Intel Core i7-8700K,https://pcpartpicker.com/product/sxDzK8/intel-core-i7-8700k-37ghz-6-core-processor-bx80684i78700k,6,3.7,4.7,Coffee Lake,95,Intel UHD Graphics 630,Intel,BX80684I78700K,LGA1151,128.0,False
Intel Core i3-6100,https://pcpartpicker.com/product/hV7CmG/intel-cpu-bx80662i36100,2,3.7,,Skylake,51,Intel HD Graphics 530,Intel,BX80662I36100,LGA1151,64.0,True
AMD Ryzen 5 8600G,https://pcpartpicker.com/product/QqyH99/amd-ryzen-5-8600g-43-ghz-6-core-processor-100-100001237box,6,4.3,5.0,Zen 4,65,Radeon 760M,AMD,100-100001237BOX,AM5,,False
AMD Ryzen 7 7800X3D,https://pcpartpicker.com/product/CzZWGX/amd-ryzen-7-7800x3d-42-ghz-8-core-oemtray-processor-100-000000910,8,4.2,5.0,Zen 4,120,Radeon,AMD,100-000000910,AM5,128.0,True
AMD Ryzen 7 2700X,https://pcpartpicker.com/product/bddxFT/amd-ryzen-7-2700x-37ghz-8-core-processor-yd270xbgafbox,8,3.7,4.3,Zen+,105,,AMD,YD270XBGAFBOX,AM4,64.0,False
AMD Ryzen 5 7500F,https://pcpartpicker.com/product/zGn9TW/amd-ryzen-5-7500f-37-ghz-6-core-processor-100-100000597box,6,3.7,5.0,Zen 4,65,,AMD,100-100000597BOX,AM5,128.0,True
Intel Core i3-14100F,https://pcpartpicker.com/product/R7qrxr/intel-core-i3-14100f-35-ghz-quad-core-processor-bx8071514100f,4,3.5,4.7,Raptor Lake Refresh,58,,Intel,BX8071514100F,LGA1700,192.0,True
AMD Ryzen 9 7900X3D,https://pcpartpicker.com/product/XccgXL/amd-ryzen-9-7900x3d-44-ghz-12-core-processor-100-100000909wof,12,4.4,5.6,Zen 4,120,Radeon,AMD,100-100000909WOF,AM5,128.0,True
AMD Threadripper 3970X,https://pcpartpicker.com/product/rkwkcf/amd-threadripper-3970x-37-ghz-32-core-processor-100-100000011wof,32,3.7,4.5,Zen 2,280,,AMD,100-100000011WOF,sTRX4,512.0,True
Intel Core i9-14900KS,https://pcpartpicker.com/product/3ZmNnQ/intel-core-i9-14900ks-32-ghz-24-core-processor-bx8071514900ks,24,3.2,6.2,Raptor Lake Refresh,150,Intel UHD Graphics 770,Intel,BX8071514900KS,LGA1700,192.0,True
Intel Core i9-12900KF,https://pcpartpicker.com/product/2sstt6/intel-core-i9-12900kf-32-ghz-8-core-processor-bx8071512900kf,16,3.2,5.2,Alder Lake,125,,Intel,BX8071512900KF,LGA1700,128.0,False
AMD Ryzen 5 7500X3D,https://pcpartpicker.com/product/bsgZxr/amd-ryzen-5-7500x3d-4-ghz-6-core-oemtray-processor-100-000001904,6,4.0,4.5,Zen 4,65,Radeon,AMD,100-000001904,AM5,128.0,True
Intel Core i7-7700K,https://pcpartpicker.com/product/VKx9TW/intel-core-i7-7700k-42ghz-quad-core-processor-bx80677i77700k,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630,Intel,BX80677I77700K,LGA1151,64.0,False
AMD Ryzen 5 5500GT,https://pcpartpicker.com/product/VcvD4D/amd-ryzen-5-5500gt-36-ghz-6-core-processor-100-100001489box,6,3.6,4.4,Zen 3,65,Radeon Vega 7,AMD,100-100001489BOX,AM4,128.0,False
Intel Core i7-13700K,https://pcpartpicker.com/product/Mm6p99/intel-core-i7-13700k-34-ghz-16-core-processor-bx8071513700k,16,3.4,5.4,Raptor Lake,125,Intel UHD Graphics 770,Intel,BX8071513700K|i7-13700K,LGA1700,192.0,True
Intel Core i9-9900K,https://pcpartpicker.com/product/jHZFf7/intel-core-i9-9900k-36ghz-8-core-processor-bx80684i99900k,8,3.6,5.0,Coffee Lake Refresh,95,Intel UHD Graphics 630,Intel,BX80684I99900K,LGA1151,128.0,False
AMD Ryzen 5 3600X,https://pcpartpicker.com/product/3WYLrH/amd-ryzen-5-3600x-38-ghz-6-core-processor-100-100000022box,6,3.8,4.4,Zen 2,95,,AMD,Ryzen 5 3600X|100-100000022BOX,AM4,128.0,False
AMD Ryzen 9 7950X,https://pcpartpicker.com/product/22XJ7P/amd-ryzen-9-7950x-45-ghz-16-core-processor-100-100000514wof,16,4.5,5.7,Zen 4,170,Radeon,AMD,100-100000514WOF,AM5,128.0,True
Intel Core i5-13600K,https://pcpartpicker.com/product/LfNxFT/intel-core-i5-13600k-35-ghz-14-core-processor-bx8071513600k,14,3.5,5.1,Raptor Lake,125,Intel UHD Graphics 770,Intel,BX8071513600K|i5-13600K,LGA1700,192.0,True
Intel Core i9-13900K,https://pcpartpicker.com/product/DhVmP6/intel-core-i9-13900k-3-ghz-24-core-processor-bx8071513900k,24,3.0,5.8,Raptor Lake,125,Intel UHD Graphics 770,Intel,BX8071513900K|i9-13900K,LGA1700,192.0,True
Intel Celeron E3400,https://pcpartpicker.com/product/CxvRsY/intel-cpu-bx80571e3400,2,2.6,,Wolfdale,65,,Intel,BX80571E3400,LGA775,,False
Intel Core i7-6700K,https://pcpartpicker.com/product/tdmxFT/intel-cpu-bx80662i76700k,4,4.0,4.2,Skylake,91,Intel HD Graphics 530,Intel,BX80662I76700K,LGA1151,64.0,False
AMD Ryzen 9 3900X,https://pcpartpicker.com/product/tLCD4D/amd-ryzen-9-3900x-36-ghz-12-core-processor-100-100000023box,12,3.8,4.6,Zen 2,105,,AMD,Ryzen 9 3900X|100-100000023BOX,AM4,128.0,False
Intel Core i7-10700K,https://pcpartpicker.com/product/yhxbt6/intel-core-i7-10700k-38-ghz-8-core-processor-bx8070110700k,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,Intel,BX8070110700K,LGA1200,128.0,False
Intel Core i5-9400F,https://pcpartpicker.com/product/T47v6h/intel-core-i5-9400f-29-ghz-6-core-processor-bx80684i59400f,6,2.9,4.1,Coffee Lake Refresh,65,,Intel,BX80684I59400F,LGA1151,128.0,False
Intel Core i5-11400F,https://pcpartpicker.com/product/qp2WGX/intel-core-i5-11400f-26-ghz-6-core-processor-bx8070811400f,6,2.6,4.4,Rocket Lake,65,,Intel,BX8070811400F,LGA1200,128.0,False
Intel Core i5-12400,https://pcpartpicker.com/product/tLKKHx/intel-core-i5-12400-25-ghz-6-core-processor-bx8071512400,6,2.5,4.4,Alder Lake,65,Intel UHD Graphics 730,Intel,BX8071512400,LGA1700,128.0,False
AMD Ryzen 7 3800X,https://pcpartpicker.com/product/qryV3C/amd-ryzen-7-3800x-39-ghz-8-core-processor-100-100000025box,8,3.9,4.5,Zen 2,105,,AMD,Ryzen 7 3800X|100-100000025BOX,AM4,128.0,False
Intel Core i3-10100F,https://pcpartpicker.com/product/r8Dkcf/intel-core-i3-10100f-36-ghz-quad-core-processor-bx8070110100f,4,3.6,4.3,Comet Lake,65,,Intel,BX8070110100F,LGA1200,128.0,False
AMD Ryzen 5 1600 (14nm),https://pcpartpicker.com/product/mV98TW/amd-ryzen-5-1600-32ghz-6-core-processor-yd1600bbaebox,6,3.2,3.6,Zen,65,,AMD,YD1600BBAEBOX,AM4,,False
AMD Ryzen 9 7900,https://pcpartpicker.com/product/P3cG3C/amd-ryzen-9-7900-36-ghz-12-core-processor-100-100000590box,12,3.7,5.4,Zen 4,65,Radeon,AMD,100-100000590BOX,AM5,128.0,True
Intel Core i5-14400,https://pcpartpicker.com/product/37qrxr/intel-core-i5-14400-25-ghz-10-core-processor-bx8071514400,10,2.5,4.7,Raptor Lake Refresh,65,Intel UHD Graphics 730,Intel,BX8071514400,LGA1700,192.0,True
Intel Core i7-8700,https://pcpartpicker.com/product/C9hj4D/intel-core-i7-8700-32ghz-6-core-processor-bx80684i78700,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630,Intel,BX80684I78700,LGA1151,128.0,False
Intel Core i5-9600K,https://pcpartpicker.com/product/28qhP6/intel-core-i5-9600k-37ghz-6-core-processor-bx80684i59600k,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630,Intel,BX80684I59600K,LGA1151,128.0,False
Intel Core i7-12700F,https://pcpartpicker.com/product/LT3gXL/intel-core-i7-12700f-21-ghz-12-core-processor-bx8071512700f,12,2.1,4.9,Alder Lake,65,,Intel,BX8071512700F,LGA1700,128.0,False
Intel Core i7-11700K,https://pcpartpicker.com/product/VW3gXL/intel-core-i7-11700k-36-ghz-8-core-processor-bx8070811700k,8,3.6,5.0,Rocket Lake,125,Intel UHD Graphics 750,Intel,BX8070811700K,LGA1200,128.0,False
Intel Core i7-7700,https://pcpartpicker.com/product/9mRFf7/intel-core-i7-7700-36ghz-quad-core-processor-bx80677i77700,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630,Intel,BX80677I77700,LGA1151,64.0,False
AMD Ryzen 7 7700,https://pcpartpicker.com/product/zrRnTW/amd-ryzen-7-7700-36-ghz-8-core-oemtray-processor-100-000000592,8,3.6,5.3,Zen 4,65,Radeon,AMD,100-000000592,AM5,128.0,True
Intel Core i7-6700,https://pcpartpicker.com/product/7V7CmG/intel-cpu-bx80662i76700,4,3.4,4.0,Skylake,65,Intel HD Graphics 530,Intel,BX80662I76700,LGA1151,64.0,False
Intel Core i5-13600KF,https://pcpartpicker.com/product/GVM48d/intel-core-i5-13600kf-35-ghz-14-core-processor-bx8071513600kf,14,3.5,5.1,Raptor Lake,125,,Intel,BX8071513600KF|i5-13600KF,LGA1700,192.0,False
AMD Ryzen 5 2600X,https://pcpartpicker.com/product/6mm323/amd-ryzen-5-2600x-36ghz-6-core-processor-yd260xbcafbox,6,3.6,4.2,Zen+,95,,AMD,YD260XBCAFBOX,AM4,64.0,False
Intel Core i7-13700KF,https://pcpartpicker.com/product/w86p99/intel-core-i7-13700kf-34-ghz-16-core-processor-bx8071513700kf,16,3.4,5.4,Raptor Lake,125,,Intel,BX8071513700KF|i7-13700KF,LGA1700,192.0,False
Intel Core i7-4790K,https://pcpartpicker.com/product/6vzv6h/intel-cpu-bx80646i74790k,4,4.0,4.4,Haswell Refresh,88,Intel HD Graphics 4600,Intel,BX80646I74790K,LGA1150,,False
Intel Core i5-6500,https://pcpartpicker.com/product/xwhj4D/intel-cpu-bx80662i56500,4,3.2,3.6,Skylake,65,Intel HD Graphics 530,Intel,BX80662I56500,LGA1151,64.0,False
Intel Core Ultra 7 265F,https://pcpartpicker.com/product/hw62FT/intel-core-ultra-7-265f-24-ghz-20-core-processor-bx80768265f,20,2.4,5.3,Arrow Lake,65,,Intel,BX80768265F,LGA1851,256.0,False
AMD Ryzen 9 3950X,https://pcpartpicker.com/product/t7CFf7/amd-ryzen-9-3950x-35-ghz-16-core-processor-100-100000051wof,16,3.5,4.7,Zen 2,105,,AMD,100-100000051WOF,AM4,128.0,False
Intel Core Ultra 5 225,https://pcpartpicker.com/product/tFtkcf/intel-core-ultra-5-225-33-ghz-10-core-processor-bx80768225,10,3.3,4.9,Arrow Lake,65,Intel Xe,Intel,BX80768225,LGA1851,256.0,False
Intel Core i9-10900K,https://pcpartpicker.com/product/cwFKHx/intel-core-i9-10900k-37-ghz-10-core-processor-bx8070110900k,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630,Intel,BX8070110900K,LGA1200,128.0,False
AMD Threadripper 3960X,https://pcpartpicker.com/product/kNyqqs/amd-ryzen-9-3960x-38-ghz-24-core-processor-100-100000010wof,24,3.8,4.5,Zen 2,280,,AMD,100-100000010WOF,sTRX4,512.0,True
AMD Ryzen 5 9600,https://pcpartpicker.com/product/QmqNnQ/amd-ryzen-5-9600-38-ghz-6-core-processor-100-100000718box,6,3.8,5.2,Zen 5,65,Radeon,AMD,100-100000718BOX,AM5,192.0,True
