name,part_url,type,interface,capacity,color,manufacturer,part_number,rpm,form_factor
Seagate Portable Drive,https://pcpartpicker.com/product/TrYfrH/seagate-portable-drive-2-tb-external-hard-drive-stgx2000400,HDD,USB Type-A 3.2 Gen 1,2000,Black,Seagate,STGX2000400,5400.0,External
Samsung T9 Portable,https://pcpartpicker.com/product/gqWJ7P/samsung-t9-portable-4-tb-external-ssd-mu-pg4t0bam,SSD,USB Type-C 3.2 Gen 2x2,4000,Black,Samsung,MU-PG4T0B/AM|MU-PG4T0B,,External
SanDisk SDSSDT40-8T00-NA25,https://pcpartpicker.com/product/PbP8TW/western-digital-sandisk-desk-drive-8-tb-external-ssd-sdssdt40-8t00-na25,SSD,USB Type-C 3.2 Gen 2,8000,Black,SanDisk,SDSSDT40-8T00-NA25,,External
Western Digital My Book Duo,https://pcpartpicker.com/product/hvytt6/western-digital-my-book-duo-36-tb-external-hard-drive-wdbfbe0360jbknesn,HDD,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",36000,Black,Western Digital,WDBFBE0360JBKNESN,7200.0,External
Seagate Expansion,https://pcpartpicker.com/product/jXH48d/seagate-external-hard-drive-steb4000100,HDD,USB Type-A 3.2 Gen 1,4000,,Seagate,STEB4000100,,External
Samsung T5 EVO Portable,https://pcpartpicker.com/product/bxNYcf/samsung-t5-evo-portable-8-tb-external-ssd-mu-ph8t0sam,SSD,USB Type-C 3.2 Gen 1,8000,Black,Samsung,MU-PH8T0S/AM|MU-PH8T0S|MU-PH8T0S/EU,,External
Corsair EX400U SURVIVOR,https://pcpartpicker.com/product/Mnrp99/corsair-ex400u-survivor-4-tb-external-ssd-cssd-ex400us4tb,SSD,USB Type-C 4.0 Gen 3x2,4000,Black,Corsair,CSSD-EX400US4TB,,External
Western Digital My Passport,https://pcpartpicker.com/product/WCfFf7/western-digital-4-tb-external-hard-drive-wdbpkj0040bbk-wesn,HDD,USB Type-A 3.2 Gen 1,4000,Black,Western Digital,WDBPKJ0040BBK-WESN,5400.0,External
Seagate Expansion,https://pcpartpicker.com/product/xFcgXL/seagate-expansion-20-tb-external-hard-drive-stkp20000400,HDD,USB Type-A 3.2 Gen 1,20000,Black,Seagate,STKP20000400,5400.0,External
Western Digital ELEMENTS,https://pcpartpicker.com/product/dXZWGX/western-digital-elements-26-tb-external-hard-drive-wdbwlg0260hbk-nesn,HDD,USB Type-A 3.2 Gen 1,26000,Black,Western Digital,WDBWLG0260HBK-NESN|WDBBKG0260HBK-AESN,,External
